Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest
Customer 1;53.6581;52.4386;20;10;0;25
Customer 2;51.2542;58.484;10;5;0;20
Customer 3;51.9595;58.1589;20;10;0;25
Customer 4;51.9613;58.3366;10;5;0;20
Customer 5;51.1842;58.2805;20;10;0;25
Customer 6;51.2289;58.476;10;5;0;20
Customer 7;51.2104;58.6214;10;5;0;20
Customer 8;51.7867;55.1077;10;5;0;20
Customer 9;52.847;53.4867;20;10;0;25
Customer 10;51.8063;55.1706;10;5;0;20
Customer 11;51.611;53.9102;10;5;0;20
Customer 12;52.0894;53.6452;10;5;0;20
Customer 13;51.2429;58.4669;20;10;6;28
Customer 14;51.4885;57.3771;10;5;8;24
Customer 15;51.7917;55.1379;10;5;9;25
Customer 16;51.8379;55.1417;40;20;12;41
Customer 17;52.1066;53.6437;10;5;13;27
Customer 18;51.2088;58.5606;10;5;13;27
Customer 19;51.2332;58.4725;20;10;14;32
Customer 20;51.2241;58.4941;10;5;16;28
Customer 21;51.2242;58.4941;10;5;19;30
Customer 23;53.6577;52.4384;10;5;32;37
Customer 24;52.7752;52.2493;10;5;33;39
Customer 25;51.254;58.4843;20;10;34;42
Customer 26;52.7884;52.258;10;5;38;44
Customer 27;53.5932;52.4288;20;10;44;52
Customer 28;51.7623;55.1166;10;5;54;59
Customer 29;51.2244;58.494;10;5;56;61
Customer 30;51.8264;55.1633;10;5;58;64
Customer 31;51.2297;58.6354;10;5;59;65
Customer 32;51.8657;58.223;10;5;60;66
Customer 33;51.8036;55.1418;10;5;61;67
Customer 34;51.713;55.2174;10;5;62;68
Customer 35;51.2542;58.4842;10;5;65;71
Customer 36;51.2458;58.4617;20;10;66;75
Customer 37;51.2297;58.4774;10;5;67;73
Customer 38;51.2229;58.4927;20;10;69;78
Customer 39;51.2286;58.4872;10;5;69;74
Customer 41;51.4638;58.4403;10;5;76;82
Customer 42;52.5206;52.7678;10;5;78;84
Customer 43;51.8166;55.1698;10;5;79;84
Customer 44;51.2541;58.4842;10;5;79;84
Customer 45;52.788;52.2601;10;5;82;88
Customer 46;51.2872;58.4305;10;5;84;89
Customer 47;51.2542;58.484;10;5;85;91
Customer 48;52.7928;52.2686;10;5;93;98
Customer 49;51.2227;58.4897;20;10;94;103
Customer 50;51.987;55.325;20;10;107;115
Customer 51;51.1944;58.6175;60;30;108;129
Customer 52;51.2541;58.441;10;5;109;115
Customer 53;52.7857;52.257;20;10;110;119
Customer 54;51.2449;58.4326;10;5;110;115
Customer 55;51.8018;55.083;20;10;113;122
Customer 56;51.4685;58.4568;10;5;114;119
Customer 57;51.1959;58.3191;20;10;115;123
Customer 58;51.7748;55.149;10;5;116;122
Customer 59;52.5241;52.7433;20;10;118;127
Customer 60;51.2541;58.4843;10;5;118;124
Customer 61;51.0355;59.8783;10;5;121;127
Customer 62;51.4586;58.4434;10;5;122;127
Customer 63;51.7595;55.109;20;10;125;134
Customer 64;51.4637;58.4403;10;5;126;132
Customer 65;52.0888;53.6454;10;5;126;132
Customer 66;51.2247;58.4846;10;5;129;135
Customer 67;52.4328;53.1556;10;5;137;142
Customer 68;50.7627;59.5232;20;10;142;151
Customer 69;51.2541;58.4841;10;5;143;149
Customer 70;52.5412;52.8228;10;5;145;150
Customer 71;51.206;58.612;10;5;151;156
Customer 72;51.2195;58.6249;10;5;153;158
Customer 73;51.2542;58.4842;10;5;153;159
Customer 74;52.0892;53.6458;10;5;156;162
Customer 75;51.836;55.1595;10;5;164;169
Customer 77;51.1853;58.2782;10;5;165;170
Customer 78;51.1876;58.2844;10;5;168;174
Customer 79;52.7753;52.2507;10;5;171;176
Customer 80;52.7698;52.2419;10;5;171;176
Customer 81;51.1958;58.3232;10;5;173;179
Customer 82;51.2573;58.4267;10;5;174;180
Customer 83;51.2302;58.48;10;5;174;179
Customer 84;51.1916;58.2927;10;5;177;183
Customer 85;51.5234;53.3741;20;10;179;188
Customer 86;51.2539;58.4841;10;5;181;186
Customer 87;51.4065;57.5836;20;10;184;192
Customer 88;51.2541;58.4841;20;10;190;199
Customer 89;52.7706;52.2422;10;5;191;197
Customer 90;51.7797;56.3872;20;10;193;202
Customer 91;51.776;52.7413;60;30;194;216
Customer 92;51.482;57.3762;10;5;194;200
Customer 93;51.7854;55.0761;10;5;197;203
Customer 94;51.8722;54.2096;10;5;197;203
Customer 95;51.2558;58.4315;10;5;198;203
Customer 96;52.5298;52.741;10;5;206;212
Customer 97;51.2461;58.4609;10;5;208;213
Customer 98;51.2479;58.4671;10;5;208;213
Customer 99;50.7678;59.5238;10;5;209;214
Customer 101;51.2196;58.6248;10;5;210;216
Customer 102;51.2135;58.6109;10;5;213;218
Customer 103;51.0359;59.8698;10;5;215;220
Customer 104;51.254;58.4841;10;5;217;222
Customer 105;51.4587;58.4352;40;20;218;233
Customer 106;51.4586;58.4434;10;5;221;226
Customer 107;51.254;58.4843;10;5;230;236
Customer 108;51.4842;57.3661;10;5;234;239
Customer 109;51.8471;55.121;40;20;239;252
Customer 110;52.0894;53.6453;10;5;241;247
Customer 111;52.7915;52.2677;10;5;244;250
Customer 112;51.4773;57.3434;10;5;245;251
Customer 113;51.2089;58.5608;10;5;246;251
Customer 114;51.1819;58.2815;20;10;251;260
Customer 115;51.2245;58.4774;10;5;254;260
Customer 116;52.7768;52.2508;10;5;255;261
Customer 117;51.9654;58.16;10;5;259;264
Customer 118;52.7701;52.2417;10;5;261;267
Customer 119;52.0894;53.6453;10;5;261;266
Customer 120;51.7763;55.1398;10;5;261;266
Customer 121;51.2289;58.4825;10;5;263;269
Customer 122;52.7701;52.2401;10;5;265;270
Customer 123;52.8468;53.4893;40;20;265;278
Customer 124;51.2133;58.6137;10;5;265;271
Customer 125;52.7768;52.2508;10;5;267;273
Customer 126;52.7701;52.2417;10;5;268;274
Customer 127;51.2552;58.4428;10;5;269;275
Customer 128;51.7692;52.7458;10;5;271;276
Customer 129;51.2231;58.4732;40;20;276;292
Customer 130;53.6581;52.4386;10;5;277;282
Customer 131;51.2543;58.4842;10;5;285;290
Customer 132;51.8123;55.1777;10;5;285;290
Customer 134;51.2665;58.513;10;5;290;296
Customer 135;51.8565;54.9822;10;5;290;296
Customer 136;51.7675;55.1384;10;5;293;298
Customer 137;51.2541;58.4838;10;5;294;299
Customer 138;52.7883;52.2605;10;5;296;301
Customer 139;51.2031;58.31;10;5;298;303
Customer 140;51.7689;55.1061;10;5;299;304
Customer 141;51.2214;58.4827;10;5;301;307
Customer 142;51.7741;55.0788;10;5;302;307
Customer 143;51.8317;55.1574;20;10;304;312
Customer 148;51.9703;58.1647;20;10;310;319
Customer 149;51.254;58.4842;20;10;310;319
Customer 150;51.8549;55.1262;20;10;310;318
Customer 151;51.482;57.3764;10;5;315;321
Customer 152;51.8136;55.1715;10;5;315;320
Customer 153;51.1865;58.2786;10;5;319;324
Customer 154;52.7773;52.2533;10;5;320;325
Customer 155;53.6139;52.4135;10;5;320;326
Customer 156;51.2271;58.5064;10;5;320;326
Customer 157;51.2249;58.4839;10;5;320;326
Customer 158;51.254;58.4841;10;5;320;325
Customer 159;51.2916;58.4174;10;5;320;326
Customer 160;51.8268;55.1621;10;5;320;325
Customer 161;51.2481;58.4676;10;5;320;326
Customer 162;51.7708;55.1058;10;5;320;325
Customer 163;51.8545;55.1262;10;5;320;325
