Name;Latitude;Longitude;Service Time;Boreholes Number;Earliest;Latest;
Customer 1;51.2542;58.4841;10;5;0;20;10
Customer 2;51.8674;58.2301;20;10;5;28;17
Customer 3;52.7699;52.242;20;10;6;28;17
Customer 4;51.254;58.4841;10;5;7;24;16
Customer 5;51.8214;55.1672;10;5;10;25;18
Customer 6;51.4592;58.4445;20;10;11;31;21
Customer 7;51.7767;56.3776;10;5;13;27;20
Customer 8;51.2403;58.4652;10;5;17;29;23
Customer 9;51.7838;55.0924;10;5;33;39;36
Customer 10;52.7701;52.2417;10;5;45;50;48
Customer 11;52.7767;52.2509;10;5;45;51;48
Customer 12;52.7728;52.2457;20;10;101;109;105
Customer 13;52.7729;52.2456;10;5;106;111;109
Customer 14;51.6396;54.3809;10;5;114;120;117
Customer 15;51.2226;58.4907;10;5;120;126;123
Customer 16;51.4054;57.5821;60;30;127;148;138
Customer 17;51.8546;55.1263;20;10;139;147;143
Customer 18;51.2332;58.4725;20;10;141;150;146
Customer 19;51.8099;55.1707;20;10;142;150;146
Customer 20;51.7629;55.089;10;5;144;149;147
Customer 21;52.7748;52.2373;20;10;150;159;155
Customer 22;52.803;52.2172;10;5;177;183;180
Customer 23;51.797;55.1025;10;5;181;187;184
Customer 24;51.9981;55.3208;10;5;192;198;195
Customer 25;51.1927;58.2937;10;5;192;198;195
Customer 26;52.0894;53.6452;10;5;193;199;196
Customer 27;51.2072;58.5599;10;5;198;203;201
Customer 28;52.7465;52.2641;10;5;205;210;208
Customer 29;52.7767;52.2533;10;5;206;212;209
Customer 30;51.2258;58.6136;10;5;213;218;216
Customer 31;51.232;58.4668;10;5;233;238;236
Customer 32;52.0892;53.6458;10;5;233;238;236
Customer 33;52.847;53.4867;20;10;234;243;239
Customer 34;51.8336;55.1257;10;5;237;243;240
Customer 35;51.5239;53.4132;10;5;256;262;259
Customer 36;51.7857;55.0546;20;10;259;267;263
Customer 37;51.0357;59.8731;20;10;273;282;278
Customer 38;51.0361;59.8688;10;5;277;282;280
Customer 39;51.7883;55.07;10;5;279;285;282
Customer 40;51.5236;53.3745;10;5;284;290;287
Customer 41;51.1996;58.3169;40;20;290;304;297
Customer 42;51.0313;59.8708;20;10;300;309;305
Customer 43;51.1905;58.2919;20;10;302;311;307
Customer 44;51.2541;58.4841;20;10;303;311;307
Customer 45;51.2665;58.513;10;5;307;312;310
Customer 46;51.7848;55.1536;10;5;313;319;316
Customer 47;51.2542;58.484;10;5;316;322;319
Customer 48;51.0346;59.8783;10;5;319;324;322
Customer 49;51.77;55.137;10;5;319;324;322
Customer 50;51.2183;58.4737;10;5;320;326;323
Customer 51;51.254;58.4841;10;5;320;326;323
Customer 52;51.0326;59.8781;10;5;320;325;323
